service,usageType,region,blendedCost,usageDate,resourceId
EC2,BoxUsage:t3.medium,us-west-2,11.1791,2026-03-10,i-785814
Lambda,Lambda-Requests,us-east-1,0.3155,2026-03-10,lambda-event-worker-33
RDS,BackupUsage,us-east-2,1.5408,2026-03-10,db-339461
EC2,DataTransfer-Out-Bytes,us-west-2,8.225,2026-03-10,i-888360
EC2,DataTransfer-Out-Bytes,us-west-2,4.1081,2026-03-10,i-720780
S3,TimedStorage-ByteHrs,us-east-1,0.085,2026-03-10,bucket-logs-460
EC2,BoxUsage:m5.large,us-east-2,18.6784,2026-03-10,i-655680
Lambda,Lambda-Requests,us-east-1,0.0019,2026-03-10,lambda-image-resizer-32
NAT Gateway,NatGateway-Hours,us-west-2,1.3388,2026-03-10,nat-559247
EC2,CPUCredits:t3,us-west-2,7.8537,2026-03-10,i-974315
RDS,StorageUsage,us-east-1,3.1465,2026-03-10,db-695483
Lambda,Lambda-GB-Second,us-east-1,0.2417,2026-03-10,lambda-image-resizer-18
RDS,StorageUsage,us-east-2,4.935,2026-03-10,db-427660
Lambda,Lambda-GB-Second,us-west-2,0.054,2026-03-10,lambda-auth-hook-43
Lambda,Lambda-GB-Second,us-west-2,0.1126,2026-03-10,lambda-event-worker-82
EBS,EBS:SnapshotUsage,us-east-1,0.4056,2026-03-10,vol-282431
NAT Gateway,NatGateway-Hours,us-east-1,3.5698,2026-03-10,nat-632551
EC2,DataTransfer-Out-Bytes,us-west-2,8.0798,2026-03-10,i-689457
RDS,db.t3.micro,us-east-2,6.496,2026-03-10,db-496035
S3,TimedStorage-ByteHrs,us-west-2,0.0703,2026-03-10,bucket-backup-707
Lambda,Lambda-GB-Second,us-west-2,0.0418,2026-03-10,lambda-auth-hook-71
EC2,DataTransfer-Out-Bytes,us-east-1,11.9656,2026-03-10,i-558153
RDS,StorageUsage,us-east-2,3.7135,2026-03-11,db-156774
NAT Gateway,DataProcessed-Bytes,us-east-1,3.6142,2026-03-11,nat-303637
EC2,BoxUsage:m5.large,us-west-2,10.5816,2026-03-11,i-878890
RDS,StorageUsage,us-east-1,3.3525,2026-03-11,db-229335
EC2,DataTransfer-Out-Bytes,us-west-2,11.0472,2026-03-11,i-841220
EC2,DataTransfer-Out-Bytes,us-east-2,11.3315,2026-03-11,i-948526
S3,TimedStorage-ByteHrs,us-west-2,0.0366,2026-03-11,bucket-assets-641
Lambda,Lambda-Requests,us-west-2,0.1121,2026-03-11,lambda-billing-job-19
EC2,BoxUsage:t3.medium,us-east-1,7.6965,2026-03-11,i-159937
EBS,EBS:SnapshotUsage,us-west-2,0.9648,2026-03-11,vol-562834
RDS,db.t3.small,us-east-2,4.7399,2026-03-11,db-893863
EC2,BoxUsage:t3.medium,us-west-2,1.3241,2026-03-11,i-198781
EC2,CPUCredits:t3,us-east-2,7.5176,2026-03-11,i-974948
EBS,EBS:IORequests,us-east-1,0.6259,2026-03-11,vol-201034
RDS,BackupUsage,us-east-2,4.0062,2026-03-11,db-309228
EC2,BoxUsage:t3.medium,us-west-2,6.4043,2026-03-11,i-106143
S3,TimedStorage-ByteHrs,us-east-1,0.0067,2026-03-11,bucket-assets-729
S3,Requests-Tier1,us-east-1,0.0158,2026-03-11,bucket-backup-196
CloudWatch,Logs-Archived,us-west-2,0.0601,2026-03-11,cw-575907
EC2,DataTransfer-Out-Bytes,us-east-1,8.9502,2026-03-11,i-112550
NAT Gateway,NatGateway-Hours,us-east-1,3.8481,2026-03-11,nat-633216
NAT Gateway,NatGateway-Hours,us-east-1,0.5218,2026-03-11,nat-197160
Lambda,Lambda-Requests,us-east-1,1.6677,2026-03-12,lambda-billing-job-43
EBS,EBS:IORequests,us-west-2,0.8089,2026-03-12,vol-468130
EC2,CPUCredits:t3,us-east-2,7.6181,2026-03-12,i-372173
NAT Gateway,NatGateway-Hours,us-east-1,0.6428,2026-03-12,nat-229580
EBS,EBS:SnapshotUsage,us-east-1,1.0318,2026-03-12,vol-511361
CloudWatch,Logs-Archived,us-west-2,0.2009,2026-03-12,cw-148948
NAT Gateway,DataProcessed-Bytes,us-west-2,3.2424,2026-03-12,nat-247311
EC2,BoxUsage:m5.large,us-west-2,11.8075,2026-03-12,i-929740
EBS,EBS:IORequests,us-east-1,0.2143,2026-03-12,vol-644608
EBS,EBS:SnapshotUsage,us-west-2,1.3435,2026-03-12,vol-812151
Lambda,Lambda-GB-Second,us-west-2,0.0066,2026-03-12,lambda-event-worker-33
EC2,DataTransfer-Out-Bytes,us-east-1,7.8343,2026-03-12,i-718066
RDS,db.t3.small,us-east-2,1.1832,2026-03-12,db-915605
EC2,BoxUsage:m5.large,us-east-1,10.0349,2026-03-12,i-768100
CloudWatch,Logs-Ingested,us-east-1,0.0803,2026-03-12,cw-479688
EC2,DataTransfer-Out-Bytes,us-east-2,1.3012,2026-03-12,i-723921
Lambda,Lambda-Requests,us-west-2,0.1621,2026-03-12,lambda-event-worker-56
EBS,EBS:IORequests,us-west-2,1.0346,2026-03-12,vol-909372
RDS,db.t3.micro,us-east-2,0.6503,2026-03-12,db-119229
Lambda,Lambda-Requests,us-west-2,1.2339,2026-03-12,lambda-event-worker-55
S3,Requests-Tier1,us-east-1,0.0141,2026-03-12,bucket-assets-448
NAT Gateway,NatGateway-Hours,us-west-2,2.704,2026-03-12,nat-216115
EC2,BoxUsage:m5.large,us-east-1,4.587,2026-03-12,i-282442
Lambda,Lambda-GB-Second,us-east-1,0.4836,2026-03-12,lambda-event-worker-65
Lambda,Lambda-GB-Second,us-east-1,1.4867,2026-03-12,lambda-image-resizer-16
S3,Requests-Tier1,us-east-1,0.0119,2026-03-12,bucket-assets-453
RDS,db.t3.small,us-east-2,4.3702,2026-03-12,db-590800
RDS,db.t3.small,us-east-2,4.336,2026-03-12,db-912629
RDS,db.t3.micro,us-east-1,2.2454,2026-03-12,db-694451
EC2,CPUCredits:t3,us-east-1,2.0078,2026-03-12,i-326954
CloudWatch,Logs-Ingested,us-west-2,0.0272,2026-03-12,cw-388676
EC2,BoxUsage:t3.medium,us-east-1,1.3586,2026-03-12,i-861211
EC2,BoxUsage:m5.large,us-east-1,6.8684,2026-03-12,i-915193
EC2,CPUCredits:t3,us-west-2,10.4863,2026-03-13,i-449550
Lambda,Lambda-GB-Second,us-east-1,0.0506,2026-03-13,lambda-image-resizer-50
NAT Gateway,DataProcessed-Bytes,us-west-2,0.7216,2026-03-13,nat-525072
RDS,db.t3.small,us-east-1,7.3338,2026-03-13,db-976251
EC2,DataTransfer-Out-Bytes,us-east-1,8.6095,2026-03-13,i-918913
RDS,db.t3.small,us-east-2,6.8101,2026-03-13,db-717191
EC2,CPUCredits:t3,us-west-2,2.4761,2026-03-13,i-151473
EC2,CPUCredits:t3,us-east-1,7.6018,2026-03-13,i-727984
RDS,db.t3.micro,us-east-2,1.1891,2026-03-13,db-421371
Lambda,Lambda-Requests,us-east-1,0.3089,2026-03-13,lambda-auth-hook-12
S3,Requests-Tier1,us-east-1,0.0246,2026-03-13,bucket-logs-192
RDS,db.t3.small,us-east-1,6.7759,2026-03-13,db-253899
S3,Requests-Tier1,us-east-1,0.0621,2026-03-13,bucket-backup-903
S3,DataTransfer-Out-Bytes,us-east-1,0.0225,2026-03-13,bucket-backup-747
S3,DataTransfer-Out-Bytes,us-west-2,0.0778,2026-03-13,bucket-media-563
Lambda,Lambda-GB-Second,us-east-1,0.0189,2026-03-13,lambda-billing-job-83
EC2,CPUCredits:t3,us-east-2,9.161,2026-03-13,i-726694
EC2,CPUCredits:t3,us-west-2,8.8391,2026-03-13,i-475470
EC2,DataTransfer-Out-Bytes,us-east-1,3.806,2026-03-13,i-189599
NAT Gateway,DataProcessed-Bytes,us-west-2,2.2336,2026-03-13,nat-741584
EC2,BoxUsage:t3.medium,us-west-2,12.4117,2026-03-13,i-859730
S3,DataTransfer-Out-Bytes,us-west-2,0.0142,2026-03-13,bucket-logs-996
EC2,BoxUsage:t3.medium,us-west-2,6.124,2026-03-13,i-461439
S3,DataTransfer-Out-Bytes,us-west-2,0.0169,2026-03-13,bucket-logs-138
S3,Requests-Tier1,us-west-2,0.0329,2026-03-13,bucket-backup-662
Lambda,Lambda-Requests,us-west-2,0.2524,2026-03-13,lambda-auth-hook-61
CloudWatch,Logs-Ingested,us-west-2,0.0354,2026-03-13,cw-754445
S3,Requests-Tier1,us-east-1,0.0586,2026-03-13,bucket-media-474
EBS,EBS:IORequests,us-east-1,0.5519,2026-03-13,vol-250317
EBS,EBS:SnapshotUsage,us-west-2,0.232,2026-03-13,vol-626511
EC2,CPUCredits:t3,us-east-2,2.8774,2026-03-13,i-144075
EBS,EBS:VolumeUsage,us-west-2,1.2913,2026-03-13,vol-394394
NAT Gateway,DataProcessed-Bytes,us-east-1,3.6765,2026-03-13,nat-212921
EC2,BoxUsage:t3.medium,us-east-2,5.5788,2026-03-13,i-782026
EC2,CPUCredits:t3,us-east-1,1.4422,2026-03-14,i-974787
RDS,db.t3.small,us-east-2,4.7884,2026-03-14,db-571412
Lambda,Lambda-Requests,us-east-1,0.1204,2026-03-14,lambda-image-resizer-31
EC2,DataTransfer-Out-Bytes,us-west-2,5.5032,2026-03-14,i-783214
RDS,StorageUsage,us-east-2,3.1285,2026-03-14,db-172624
EBS,EBS:VolumeUsage,us-east-1,1.2264,2026-03-14,vol-980923
EC2,CPUCredits:t3,us-east-1,11.7177,2026-03-14,i-703275
EC2,BoxUsage:m5.large,us-east-2,8.8461,2026-03-14,i-810582
NAT Gateway,DataProcessed-Bytes,us-east-1,0.8111,2026-03-14,nat-587930
EC2,BoxUsage:m5.large,us-east-2,8.6188,2026-03-14,i-349730
EBS,EBS:VolumeUsage,us-east-1,0.7453,2026-03-14,vol-971834
CloudWatch,Logs-Ingested,us-east-1,0.2056,2026-03-14,cw-126725
S3,DataTransfer-Out-Bytes,us-east-1,0.0535,2026-03-14,bucket-media-692
EC2,CPUCredits:t3,us-west-2,9.7492,2026-03-14,i-891419
RDS,StorageUsage,us-east-2,1.3684,2026-03-14,db-757331
CloudWatch,Logs-Archived,us-west-2,0.0285,2026-03-14,cw-658806
RDS,db.t3.micro,us-east-1,4.1638,2026-03-14,db-286963
S3,DataTransfer-Out-Bytes,us-west-2,0.0521,2026-03-14,bucket-backup-365
Lambda,Lambda-Requests,us-east-1,0.3945,2026-03-14,lambda-image-resizer-53
Lambda,Lambda-GB-Second,us-west-2,0.0485,2026-03-14,lambda-auth-hook-93
S3,DataTransfer-Out-Bytes,us-west-2,0.0206,2026-03-14,bucket-media-895
EBS,EBS:SnapshotUsage,us-east-1,1.1371,2026-03-14,vol-697145
RDS,BackupUsage,us-east-1,5.8115,2026-03-14,db-185321
CloudWatch,Logs-Ingested,us-east-1,0.191,2026-03-14,cw-960349
EBS,EBS:IORequests,us-east-1,0.9118,2026-03-14,vol-805069
EBS,EBS:IORequests,us-east-1,1.4916,2026-03-14,vol-590440
RDS,BackupUsage,us-east-2,0.7037,2026-03-14,db-814335
EC2,BoxUsage:m5.large,us-west-2,1.9198,2026-03-14,i-253944
EC2,BoxUsage:t3.medium,us-east-2,10.0042,2026-03-14,i-880324
Lambda,Lambda-Requests,us-east-1,0.3675,2026-03-14,lambda-image-resizer-17
S3,TimedStorage-ByteHrs,us-west-2,0.0182,2026-03-14,bucket-media-364
EC2,DataTransfer-Out-Bytes,us-east-1,4.7953,2026-03-15,i-265909
RDS,StorageUsage,us-east-2,3.0286,2026-03-15,db-902573
EC2,BoxUsage:m5.large,us-east-2,3.0919,2026-03-15,i-479317
EBS,EBS:IORequests,us-east-1,0.3988,2026-03-15,vol-220865
EC2,BoxUsage:m5.large,us-west-2,9.3157,2026-03-15,i-918178
EC2,BoxUsage:m5.large,us-east-2,9.9646,2026-03-15,i-993803
S3,TimedStorage-ByteHrs,us-west-2,0.0808,2026-03-15,bucket-media-673
EC2,DataTransfer-Out-Bytes,us-west-2,3.7382,2026-03-15,i-218323
EBS,EBS:VolumeUsage,us-west-2,1.4057,2026-03-15,vol-877524
RDS,StorageUsage,us-east-1,4.1738,2026-03-15,db-442941
NAT Gateway,NatGateway-Hours,us-west-2,3.63,2026-03-15,nat-537005
Lambda,Lambda-GB-Second,us-east-1,0.2071,2026-03-15,lambda-auth-hook-37
EC2,BoxUsage:t3.medium,us-west-2,5.2953,2026-03-15,i-249395
RDS,BackupUsage,us-east-1,2.7391,2026-03-15,db-492124
Lambda,Lambda-GB-Second,us-west-2,0.0508,2026-03-15,lambda-image-resizer-92
EBS,EBS:IORequests,us-west-2,0.8349,2026-03-15,vol-577356
CloudWatch,Metrics,us-west-2,0.1148,2026-03-15,cw-784357
Lambda,Lambda-GB-Second,us-east-1,0.0174,2026-03-15,lambda-image-resizer-22
RDS,db.t3.small,us-east-2,2.3388,2026-03-15,db-151816
CloudWatch,Logs-Ingested,us-west-2,0.0822,2026-03-15,cw-212001
EBS,EBS:IORequests,us-west-2,0.5844,2026-03-15,vol-342963
S3,TimedStorage-ByteHrs,us-west-2,0.0856,2026-03-15,bucket-assets-390
NAT Gateway,DataProcessed-Bytes,us-west-2,1.1664,2026-03-15,nat-180535
RDS,db.t3.micro,us-east-1,4.678,2026-03-15,db-893009
S3,TimedStorage-ByteHrs,us-east-1,0.0154,2026-03-15,bucket-media-793
Lambda,Lambda-Requests,us-west-2,0.0554,2026-03-15,lambda-billing-job-91
NAT Gateway,DataProcessed-Bytes,us-east-1,1.4078,2026-03-15,nat-456648
RDS,StorageUsage,us-east-2,2.0753,2026-03-15,db-299782
S3,DataTransfer-Out-Bytes,us-east-1,0.0335,2026-03-15,bucket-media-800
Lambda,Lambda-Requests,us-east-1,0.024,2026-03-15,lambda-event-worker-13
RDS,StorageUsage,us-east-1,5.1788,2026-03-15,db-727180
S3,DataTransfer-Out-Bytes,us-west-2,0.0231,2026-03-15,bucket-logs-859
EC2,CPUCredits:t3,us-east-1,9.5728,2026-03-15,i-215966
S3,DataTransfer-Out-Bytes,us-west-2,0.0042,2026-03-15,bucket-assets-507
Lambda,Lambda-GB-Second,us-east-1,0.2601,2026-03-16,lambda-event-worker-87
S3,DataTransfer-Out-Bytes,us-west-2,0.0702,2026-03-16,bucket-media-997
Lambda,Lambda-Requests,us-west-2,0.0088,2026-03-16,lambda-event-worker-27
EC2,CPUCredits:t3,us-east-1,10.0431,2026-03-16,i-277533
RDS,BackupUsage,us-east-2,5.914,2026-03-16,db-698377
Lambda,Lambda-Requests,us-east-1,0.125,2026-03-16,lambda-auth-hook-51
RDS,BackupUsage,us-east-2,2.2257,2026-03-16,db-453632
EC2,BoxUsage:t3.medium,us-east-2,12.1387,2026-03-16,i-160772
EC2,BoxUsage:t3.medium,us-east-1,21.5348,2026-03-16,i-959040
EBS,EBS:IORequests,us-east-1,0.5935,2026-03-16,vol-127454
EC2,BoxUsage:t3.medium,us-east-1,11.5205,2026-03-16,i-858384
EC2,CPUCredits:t3,us-west-2,4.2059,2026-03-16,i-639487
EC2,DataTransfer-Out-Bytes,us-west-2,11.2782,2026-03-16,i-619507
EC2,DataTransfer-Out-Bytes,us-west-2,6.1637,2026-03-16,i-116160
RDS,StorageUsage,us-east-2,4.9494,2026-03-16,db-792633
RDS,StorageUsage,us-east-1,5.0727,2026-03-16,db-172662
EC2,CPUCredits:t3,us-east-2,7.4523,2026-03-16,i-580826
EC2,BoxUsage:t3.medium,us-east-1,15.8907,2026-03-16,i-775194
Lambda,Lambda-Requests,us-east-1,0.0838,2026-03-16,lambda-auth-hook-79
CloudWatch,Logs-Ingested,us-east-1,0.1173,2026-03-16,cw-855398
S3,DataTransfer-Out-Bytes,us-west-2,0.039,2026-03-16,bucket-media-961
EC2,BoxUsage:m5.large,us-east-1,21.049,2026-03-16,i-937889
EC2,BoxUsage:t3.medium,us-east-1,12.0652,2026-03-16,i-187778
EC2,BoxUsage:m5.large,us-west-2,20.3188,2026-03-16,i-942798
Lambda,Lambda-GB-Second,us-west-2,0.3275,2026-03-16,lambda-billing-job-95
NAT Gateway,NatGateway-Hours,us-east-1,2.4016,2026-03-16,nat-626001
RDS,db.t3.micro,us-east-1,3.0289,2026-03-16,db-437846
S3,DataTransfer-Out-Bytes,us-east-1,0.0711,2026-03-16,bucket-media-757
EC2,BoxUsage:m5.large,us-east-2,15.4091,2026-03-16,i-651259
EC2,BoxUsage:t3.medium,us-west-2,8.5682,2026-03-17,i-601921
NAT Gateway,NatGateway-Hours,us-east-1,1.9178,2026-03-17,nat-276200
RDS,BackupUsage,us-east-1,1.8619,2026-03-17,db-812653
Lambda,Lambda-Requests,us-west-2,0.3086,2026-03-17,lambda-event-worker-16
RDS,StorageUsage,us-east-1,1.4927,2026-03-17,db-767671
Lambda,Lambda-GB-Second,us-west-2,0.1479,2026-03-17,lambda-billing-job-60
EC2,CPUCredits:t3,us-east-1,6.144,2026-03-17,i-979406
EC2,CPUCredits:t3,us-east-2,9.1589,2026-03-17,i-194620
RDS,StorageUsage,us-east-1,1.4916,2026-03-17,db-463328
Lambda,Lambda-GB-Second,us-west-2,0.1772,2026-03-17,lambda-event-worker-11
EC2,BoxUsage:t3.medium,us-east-2,3.841,2026-03-17,i-180950
EBS,EBS:VolumeUsage,us-east-1,1.4921,2026-03-17,vol-668603
EC2,DataTransfer-Out-Bytes,us-west-2,7.1995,2026-03-17,i-715795
Lambda,Lambda-Requests,us-west-2,0.2948,2026-03-17,lambda-event-worker-37
EC2,BoxUsage:t3.medium,us-east-2,4.9078,2026-03-17,i-603232
Lambda,Lambda-GB-Second,us-east-1,0.1883,2026-03-17,lambda-billing-job-34
EC2,DataTransfer-Out-Bytes,us-east-1,9.8866,2026-03-17,i-253122
RDS,db.t3.micro,us-east-1,4.5392,2026-03-17,db-285664
EBS,EBS:IORequests,us-west-2,0.6966,2026-03-17,vol-832925
RDS,db.t3.micro,us-east-2,3.1768,2026-03-17,db-174268
EC2,DataTransfer-Out-Bytes,us-west-2,4.5749,2026-03-17,i-390401
Lambda,Lambda-GB-Second,us-east-1,0.3927,2026-03-17,lambda-auth-hook-46
CloudWatch,Metrics,us-east-1,0.014,2026-03-17,cw-725673
S3,TimedStorage-ByteHrs,us-west-2,0.0956,2026-03-17,bucket-media-951
EC2,CPUCredits:t3,us-east-2,7.1203,2026-03-17,i-605108
EBS,EBS:SnapshotUsage,us-west-2,1.3845,2026-03-17,vol-543698
EC2,BoxUsage:m5.large,us-east-1,9.3793,2026-03-17,i-857635
Lambda,Lambda-Requests,us-east-1,0.311,2026-03-18,lambda-auth-hook-52
RDS,BackupUsage,us-east-2,4.7599,2026-03-18,db-457011
Lambda,Lambda-GB-Second,us-east-1,0.0285,2026-03-18,lambda-billing-job-52
Lambda,Lambda-GB-Second,us-west-2,0.2192,2026-03-18,lambda-image-resizer-59
EC2,BoxUsage:m5.large,us-east-2,1.118,2026-03-18,i-603363
S3,Requests-Tier1,us-west-2,0.0148,2026-03-18,bucket-logs-446
NAT Gateway,NatGateway-Hours,us-east-1,2.5413,2026-03-18,nat-913096
NAT Gateway,DataProcessed-Bytes,us-east-1,1.7081,2026-03-18,nat-407388
S3,TimedStorage-ByteHrs,us-east-1,0.0408,2026-03-18,bucket-media-347
CloudWatch,Logs-Archived,us-east-1,0.0298,2026-03-18,cw-244702
NAT Gateway,NatGateway-Hours,us-east-1,3.4368,2026-03-18,nat-214689
EC2,CPUCredits:t3,us-east-2,6.0736,2026-03-18,i-403813
S3,TimedStorage-ByteHrs,us-east-1,0.0258,2026-03-18,bucket-logs-365
RDS,BackupUsage,us-east-1,0.5032,2026-03-18,db-837917
EC2,CPUCredits:t3,us-west-2,6.7712,2026-03-18,i-197792
EC2,CPUCredits:t3,us-west-2,0.942,2026-03-18,i-822804
EC2,CPUCredits:t3,us-east-1,8.3797,2026-03-18,i-143121
S3,Requests-Tier1,us-west-2,0.0306,2026-03-18,bucket-backup-891
EC2,DataTransfer-Out-Bytes,us-west-2,11.6656,2026-03-18,i-169412
S3,Requests-Tier1,us-east-1,0.0207,2026-03-18,bucket-backup-397
RDS,db.t3.micro,us-east-1,6.8656,2026-03-18,db-311419
Lambda,Lambda-Requests,us-east-1,0.2594,2026-03-18,lambda-billing-job-49
Lambda,Lambda-GB-Second,us-east-1,0.2977,2026-03-18,lambda-image-resizer-77
EC2,DataTransfer-Out-Bytes,us-east-1,11.482,2026-03-19,i-981845
CloudWatch,Logs-Ingested,us-east-1,0.2553,2026-03-19,cw-365971
EC2,CPUCredits:t3,us-west-2,3.687,2026-03-19,i-907995
EC2,BoxUsage:m5.large,us-west-2,13.853,2026-03-19,i-519684
EC2,DataTransfer-Out-Bytes,us-east-1,1.6688,2026-03-19,i-221237
NAT Gateway,NatGateway-Hours,us-east-1,3.4714,2026-03-19,nat-533587
EC2,CPUCredits:t3,us-east-2,8.9328,2026-03-19,i-458978
NAT Gateway,NatGateway-Hours,us-east-1,2.2766,2026-03-19,nat-610268
RDS,db.t3.micro,us-east-1,5.4968,2026-03-19,db-927355
RDS,db.t3.micro,us-east-2,4.4798,2026-03-19,db-684290
S3,Requests-Tier1,us-west-2,0.0332,2026-03-19,bucket-assets-145
RDS,db.t3.micro,us-east-2,3.1033,2026-03-19,db-717571
S3,DataTransfer-Out-Bytes,us-east-1,0.076,2026-03-19,bucket-media-276
RDS,BackupUsage,us-east-2,4.9563,2026-03-19,db-103423
EC2,DataTransfer-Out-Bytes,us-west-2,9.4117,2026-03-19,i-907061
S3,DataTransfer-Out-Bytes,us-east-1,0.0714,2026-03-19,bucket-logs-546
EC2,BoxUsage:t3.medium,us-east-1,15.0064,2026-03-19,i-645461
EC2,CPUCredits:t3,us-east-1,9.6087,2026-03-19,i-935241
S3,DataTransfer-Out-Bytes,us-east-1,0.0397,2026-03-19,bucket-backup-916
EC2,BoxUsage:t3.medium,us-east-2,13.0035,2026-03-19,i-723812
EC2,DataTransfer-Out-Bytes,us-east-1,3.6948,2026-03-19,i-316797
EBS,EBS:IORequests,us-west-2,0.2439,2026-03-19,vol-372474
EC2,BoxUsage:t3.medium,us-west-2,6.8135,2026-03-19,i-666942
S3,TimedStorage-ByteHrs,us-east-1,0.0048,2026-03-19,bucket-backup-179
EC2,BoxUsage:m5.large,us-east-1,12.3064,2026-03-19,i-389183
S3,Requests-Tier1,us-east-1,0.0083,2026-03-19,bucket-media-392
RDS,BackupUsage,us-east-1,1.9235,2026-03-19,db-746910
RDS,BackupUsage,us-east-2,2.3993,2026-03-19,db-893481
RDS,StorageUsage,us-east-1,3.0614,2026-03-20,db-426018
EC2,BoxUsage:m5.large,us-west-2,6.1768,2026-03-20,i-686541
NAT Gateway,NatGateway-Hours,us-west-2,3.641,2026-03-20,nat-545428
EC2,BoxUsage:m5.large,us-west-2,4.6397,2026-03-20,i-993369
S3,Requests-Tier1,us-west-2,0.0042,2026-03-20,bucket-logs-657
EC2,BoxUsage:m5.large,us-west-2,10.674,2026-03-20,i-174886
S3,Requests-Tier1,us-west-2,0.008,2026-03-20,bucket-logs-582
EC2,CPUCredits:t3,us-west-2,1.11,2026-03-20,i-319246
RDS,BackupUsage,us-east-2,1.5532,2026-03-20,db-575941
Lambda,Lambda-GB-Second,us-west-2,0.3446,2026-03-20,lambda-billing-job-42
EC2,DataTransfer-Out-Bytes,us-west-2,6.9755,2026-03-20,i-624097
EC2,DataTransfer-Out-Bytes,us-east-2,8.6275,2026-03-20,i-123962
RDS,db.t3.micro,us-east-2,6.7344,2026-03-20,db-541877
S3,Requests-Tier1,us-east-1,0.0596,2026-03-20,bucket-logs-265
EC2,DataTransfer-Out-Bytes,us-west-2,8.2683,2026-03-20,i-457172
CloudWatch,Metrics,us-west-2,0.0778,2026-03-20,cw-564832
EC2,CPUCredits:t3,us-east-1,5.5104,2026-03-20,i-390622
Lambda,Lambda-GB-Second,us-east-1,0.086,2026-03-20,lambda-image-resizer-40
EC2,CPUCredits:t3,us-east-2,7.4204,2026-03-20,i-311624
CloudWatch,Metrics,us-west-2,0.0734,2026-03-20,cw-531514
EC2,BoxUsage:m5.large,us-west-2,9.6478,2026-03-20,i-866736
S3,TimedStorage-ByteHrs,us-east-1,0.0304,2026-03-20,bucket-logs-914
NAT Gateway,DataProcessed-Bytes,us-west-2,1.5356,2026-03-20,nat-642185
Lambda,Lambda-Requests,us-east-1,0.1409,2026-03-20,lambda-billing-job-49
EC2,CPUCredits:t3,us-east-1,1.17,2026-03-20,i-519803
EBS,EBS:SnapshotUsage,us-west-2,0.8668,2026-03-20,vol-683195
NAT Gateway,NatGateway-Hours,us-east-1,1.0761,2026-03-20,nat-634166
EC2,DataTransfer-Out-Bytes,us-east-1,8.4692,2026-03-20,i-664126
EC2,BoxUsage:t3.medium,us-east-2,6.9684,2026-03-20,i-451602
Lambda,Lambda-GB-Second,us-west-2,0.3251,2026-03-20,lambda-auth-hook-30
CloudWatch,Logs-Archived,us-east-1,0.2,2026-03-20,cw-371708
EC2,DataTransfer-Out-Bytes,us-west-2,1.3556,2026-03-20,i-540230
EC2,DataTransfer-Out-Bytes,us-east-1,4.1398,2026-03-20,i-654186
EBS,EBS:IORequests,us-west-2,0.2013,2026-03-20,vol-268777
RDS,StorageUsage,us-east-1,1.5445,2026-03-21,db-149429
Lambda,Lambda-Requests,us-east-1,0.0329,2026-03-21,lambda-image-resizer-39
Lambda,Lambda-GB-Second,us-west-2,0.3386,2026-03-21,lambda-event-worker-68
S3,DataTransfer-Out-Bytes,us-east-1,0.0199,2026-03-21,bucket-assets-812
S3,DataTransfer-Out-Bytes,us-east-1,0.0077,2026-03-21,bucket-assets-744
RDS,StorageUsage,us-east-1,5.7889,2026-03-21,db-251305
EC2,BoxUsage:t3.medium,us-east-1,5.3766,2026-03-21,i-386034
EC2,CPUCredits:t3,us-east-1,6.117,2026-03-21,i-489071
EC2,BoxUsage:t3.medium,us-west-2,4.4538,2026-03-21,i-739659
NAT Gateway,NatGateway-Hours,us-east-1,2.6314,2026-03-21,nat-855791
EBS,EBS:SnapshotUsage,us-east-1,0.9776,2026-03-21,vol-233799
Lambda,Lambda-GB-Second,us-west-2,0.1413,2026-03-21,lambda-event-worker-97
Lambda,Lambda-GB-Second,us-east-1,0.1324,2026-03-21,lambda-image-resizer-75
EC2,DataTransfer-Out-Bytes,us-east-2,7.0555,2026-03-21,i-334602
S3,DataTransfer-Out-Bytes,us-west-2,0.039,2026-03-21,bucket-assets-998
RDS,db.t3.small,us-east-2,4.1218,2026-03-21,db-841896
EC2,CPUCredits:t3,us-west-2,6.1719,2026-03-21,i-285575
EC2,DataTransfer-Out-Bytes,us-west-2,2.5705,2026-03-21,i-145171
S3,Requests-Tier1,us-east-1,0.0689,2026-03-21,bucket-media-405
EC2,BoxUsage:t3.medium,us-west-2,9.9288,2026-03-21,i-918579
Lambda,Lambda-Requests,us-west-2,0.0207,2026-03-21,lambda-event-worker-87
EC2,BoxUsage:m5.large,us-east-2,3.2309,2026-03-21,i-209381
EC2,BoxUsage:t3.medium,us-west-2,9.4646,2026-03-21,i-581225
EC2,BoxUsage:m5.large,us-west-2,3.9276,2026-03-21,i-830069
EBS,EBS:IORequests,us-east-1,0.6653,2026-03-21,vol-503497
EC2,BoxUsage:m5.large,us-east-2,0.8609,2026-03-21,i-909332
Lambda,Lambda-Requests,us-east-1,0.1452,2026-03-21,lambda-auth-hook-34
Lambda,Lambda-Requests,us-east-1,0.3506,2026-03-21,lambda-event-worker-29
EC2,DataTransfer-Out-Bytes,us-west-2,6.4126,2026-03-21,i-851643
S3,DataTransfer-Out-Bytes,us-west-2,0.0568,2026-03-21,bucket-media-319
EC2,BoxUsage:t3.medium,us-east-2,10.5246,2026-03-22,i-761498
Lambda,Lambda-Requests,us-east-1,0.0773,2026-03-22,lambda-billing-job-18
S3,Requests-Tier1,us-east-1,0.0054,2026-03-22,bucket-assets-461
